column_name,total_rows,missing_count,missing_pct
LGATasmania,2224,2135,96
LGATasmaniaCode,2224,2135,96
CustomerSparcID,2224,1992,89.57
LGARegionalVictoria,2224,1864,83.81
LGARegionalVictoriaCode,2224,1864,83.81
CommunicationNeeds,2224,1825,82.06
Address3,2224,1810,81.38
MiddleName,2224,1758,79.05
PreferredName,2224,1666,74.91
Pronouns,2224,1637,73.61
PronounsCode,2224,1637,73.61
Address2,2224,1588,71.4
PreferredCommunicationMethod,2224,1480,66.55
PreferredCommunicationMethodCode,2224,1480,66.55
LGAMetroVictoria,2224,1377,61.92
LGAMetroVictoriaCode,2224,1377,61.92
Title,2224,903,40.6
PhoneNumber,2224,882,39.66
WINTPension_c,2224,841,37.81
AccommodationType,2224,800,35.97
AccommodationTypeCode,2224,800,35.97
Comment,2224,654,29.41
MyAgedCareNumber,2224,573,25.76
MobileNumber,2224,467,21
GoldCareID,2224,386,17.36
EmailAddress,2224,353,15.87
ACMPSCode,2224,309,13.89
CareRecipientID,2224,177,7.96
PensionType,2224,176,7.91
DOB,2224,121,5.44
Gender,2224,120,5.4
Address1,2224,4,0.18
PostCode,2224,3,0.13
Suburb,2224,3,0.13
FirstName,2224,2,0.09
State,2224,2,0.09
BillingType,2224,0,0
BillingTypeCD,2224,0,0
Client,2224,0,0
ClientType,2224,0,0
ClientTypeCode,2224,0,0
Country,2224,0,0
CustomerID,2224,0,0
CustomerName,2224,0,0
CustomerNumber,2224,0,0
CustomerType,2224,0,0
GroupCode,2224,0,0
InterpreterRequired,2224,0,0
LastName,2224,0,0
SafeToLeaveMessage,2224,0,0
SafeToSendMail,2224,0,0
StatisticalLinkageKey,2224,0,0
TerritoryID,2224,0,0
